"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 24 17:17:04 GMT 2024","Tue Sep 24 17:17:06 GMT 2024","1293","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Tue Sep 24 17:17:07 GMT 2024","Tue Sep 24 17:17:08 GMT 2024","1067","test","test_hootel","TestHootel","","","test_hotel_list",""
